ICD	ICD10	ICD10cm	ICD_class1	ICD_class2	ICD_class3	Phecode	Phenotype	maternal	neonatal
A08	A08	A08	Certain infectious and parasitic diseases	Intestinal infectious diseases	Viral and other specified intestinal infections	NA	NA		Yes
A08	A08.4	A08.4	Certain infectious and parasitic diseases	Intestinal infectious diseases	Viral intestinal infection, unspecified	NA	NA		Yes
A08	A08.0	A08.0	Certain infectious and parasitic diseases	Intestinal infectious diseases	Rotaviral enteritis	NA	NA		Yes
A08	A08.1	A08.1	Certain infectious and parasitic diseases	Intestinal infectious diseases	Acute gastroenteropathy due to Norovirus	NA	NA		Yes
A08	A08.3	A08.3	Certain infectious and parasitic diseases	Intestinal infectious diseases	Other viral enteritis	NA	NA		Yes
A08	A08.5	A08.5	Certain infectious and parasitic diseases	Intestinal infectious diseases	Other specified intestinal infections	NA	NA		Yes
A08	A08.2	A08.2	Certain infectious and parasitic diseases	Intestinal infectious diseases	Adenoviral enteritis	NA	NA		Yes
A09	A09.0	A09.0	Certain infectious and parasitic diseases	Intestinal infectious diseases	Other and unspecified gastroenteritis and colitis of infectious origin	NA	NA		Yes
A16	A16.1	A16.1	Certain infectious and parasitic diseases	Tuberculosis	Tuberculosis of lung, bacteriological and histological examination not done	NA	NA	Yes	
A16	A16.2	A16.2	Certain infectious and parasitic diseases	Tuberculosis	Tuberculosis of lung, without mention of bacteriological or histological confirmation	NA	NA	Yes	
A16	A16.0	A16.0	Certain infectious and parasitic diseases	Tuberculosis	Tuberculosis of lung, bacteriologically and histologically negative	NA	NA	Yes	
A16	A16.4	A16.4	Certain infectious and parasitic diseases	Tuberculosis	Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation	NA	NA	Yes	
A16	A16	A16	Certain infectious and parasitic diseases	Tuberculosis	Respiratory tuberculosis, not confirmed bacteriologically or histologically	NA	NA	Yes	
A16	A16.5	A16.5	Certain infectious and parasitic diseases	Tuberculosis	Tuberculous pleurisy, without mention of bacteriological or histological confirmation	NA	NA	Yes	
A16	A16.8	A16.8	Certain infectious and parasitic diseases	Tuberculosis	Other respiratory tuberculosis, without mention of bacteriological or histological confirmation	NA	NA	Yes	
A16	A16.7	A16.7	Certain infectious and parasitic diseases	Tuberculosis	Primary respiratory tuberculosis without mention of bacteriological or histological confirmation	NA	NA	Yes	
A16	A16.9	A16.9	Certain infectious and parasitic diseases	Tuberculosis	Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation	NA	NA	Yes	
A16	A16.3	A16.3	Certain infectious and parasitic diseases	Tuberculosis	Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation	NA	NA	Yes	
A49	A49.3	A49.3	Certain infectious and parasitic diseases	Other bacterial diseases	Mycoplasma infection, unspecified site	41	Bacterial infection NOS	Yes	Yes
A49	A49.0	A49.02	Certain infectious and parasitic diseases	Other bacterial diseases	Staphylococcal infection, unspecified site	41.12	Methicillin resistant Staphylococcus aureus	Yes	Yes
A49	A49.0	A49.0	Certain infectious and parasitic diseases	Other bacterial diseases	Staphylococcal infection, unspecified site	41.1	Staphylococcus infections	Yes	Yes
A49	A49.0	A49.01	Certain infectious and parasitic diseases	Other bacterial diseases	Staphylococcal infection, unspecified site	41.11	Methicillin sensitive Staphylococcus aureus	Yes	Yes
A49	A49.8	A49.8	Certain infectious and parasitic diseases	Other bacterial diseases	Other bacterial infections of unspecified site	41	Bacterial infection NOS	Yes	Yes
A49	A49.9	A49.9	Certain infectious and parasitic diseases	Other bacterial diseases	Bacterial infection, unspecified	41	Bacterial infection NOS	Yes	Yes
A49	A49	A49	Certain infectious and parasitic diseases	Other bacterial diseases	Bacterial infection of unspecified site	41	Bacterial infection NOS	Yes	Yes
A49	A49.2	A49.2	Certain infectious and parasitic diseases	Other bacterial diseases	Haemophilus influenzae infection, unspecified site	41	Bacterial infection NOS	Yes	Yes
A49	A49.1	A49.1	Certain infectious and parasitic diseases	Other bacterial diseases	Streptococcal and enterococcal infection, unspecified site	41.2	Streptococcus infection	Yes	Yes
A88	A88.0	A88.0	Certain infectious and parasitic diseases	Viral infections of the central nervous system	Enteroviral exanthematous fever [Boston exanthem]	NA	NA		Yes
A88	A88.1	A88.1	Certain infectious and parasitic diseases	Viral infections of the central nervous system	Epidemic vertigo	NA	NA		Yes
A88	A88.8	A88.8	Certain infectious and parasitic diseases	Viral infections of the central nervous system	Other specified viral infections of central nervous system	NA	NA		Yes
A88	A88	A88	Certain infectious and parasitic diseases	Viral infections of the central nervous system	Other viral infections of central nervous system, not elsewhere classified	NA	NA		Yes
B00	B00.8	B00.8	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Other forms of herpesviral infection	54	Herpes simplex	Yes	Yes
B00	B00.8	B00.89	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Other forms of herpesviral infection	54	Herpes simplex	Yes	Yes
B00	B00.8	B00.82	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Other forms of herpesviral infection	54	Herpes simplex	Yes	Yes
B00	B00.8	B00.81	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Other forms of herpesviral infection	54	Herpes simplex	Yes	Yes
B00	B00.1	B00.1	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Herpesviral vesicular dermatitis	54	Herpes simplex	Yes	Yes
B00	B00.7	B00.7	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Disseminated herpesviral disease	38	Septicemia	Yes	Yes
B00	B00.5	B00.50	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Herpesviral ocular disease	369.2	Eye infection, viral	Yes	Yes
B00	B00.5	B00.51	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Herpesviral ocular disease	369.2	Eye infection, viral	Yes	Yes
B00	B00.5	B00.59	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Herpesviral ocular disease	369.2	Eye infection, viral	Yes	Yes
B00	B00.5	B00.5	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Herpesviral ocular disease	369.2	Eye infection, viral	Yes	Yes
B00	B00.5	B00.53	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Herpesviral ocular disease	369.2	Eye infection, viral	Yes	Yes
B00	B00.5	B00.52	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Herpesviral ocular disease	369.2	Eye infection, viral	Yes	Yes
B00	B00.2	B00.2	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Herpesviral gingivostomatitis and pharyngotonsillitis	54	Herpes simplex	Yes	Yes
B00	B00.4	B00.4	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Herpesviral encephalitis	323	Encephalitis	Yes	Yes
B00	B00.3	B00.3	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Herpesviral meningitis	320	Meningitis	Yes	Yes
B00	B00.9	B00.9	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Herpesviral infection, unspecified	54	Herpes simplex	Yes	Yes
B00	B00.0	B00.0	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Eczema herpeticum	54	Herpes simplex	Yes	Yes
B00	B00	B00	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Herpesviral [herpes simplex] infections	54	Herpes simplex	Yes	Yes
B01	B01.2	B01.2	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Varicella pneumonia	480.2	Viral pneumonia	Yes	Yes
B01	B01	B01	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Varicella [chickenpox]	79.1	Varicella infection	Yes	Yes
